iter	MultiClass
0	1.081160339
1	1.067857228
2	1.055384583
3	1.044534433
4	1.03363398
5	1.023134269
6	1.008164356
7	1.002014544
8	0.9944170888
9	0.9840641873
10	0.9741950845
11	0.9733972861
12	0.9659758618
13	0.9529780943
14	0.9475221107
15	0.9436467504
16	0.9368396342
17	0.9307132597
18	0.922693066
19	0.9190337358
20	0.9132094355
21	0.9040128643
22	0.895334413
23	0.8880974773
24	0.881614466
25	0.8763110516
26	0.8688413455
27	0.8638203253
28	0.8590166791
29	0.8523929134
30	0.8473754798
31	0.8448461194
32	0.8424453975
33	0.8360811426
34	0.831421876
35	0.8271431595
36	0.821215403
37	0.8170462013
38	0.8113540382
39	0.8071569316
40	0.803724647
41	0.7989710853
42	0.7967207988
43	0.7917298531
44	0.7869952033
45	0.7851890182
46	0.7813319049
47	0.7795142515
48	0.778322258
49	0.7716205493
50	0.7695265589
51	0.7683618431
52	0.7636796965
53	0.7621942083
54	0.7581629463
55	0.7538318597
56	0.750377509
57	0.7456828666
58	0.7396174352
59	0.7360416573
60	0.7309576089
61	0.726854126
62	0.7242728613
63	0.7205238567
64	0.7188679596
65	0.7129258182
66	0.7094842479
67	0.7062053903
68	0.705234609
69	0.7000222906
70	0.6951295849
71	0.692291166
72	0.6880650143
73	0.6830445206
74	0.6810596087
75	0.6771723295
76	0.6731722895
77	0.6714455109
78	0.6677992849
79	0.6655239651
80	0.6601120159
81	0.6588754404
82	0.6555148951
83	0.6517129159
84	0.6488463184
85	0.647340249
86	0.6439806328
87	0.6382921103
88	0.6355062699
89	0.631901152
90	0.6295650106
91	0.6278056925
92	0.6241993338
93	0.621717432
94	0.620840459
95	0.6167235543
96	0.6144090165
97	0.6106643023
98	0.6065017982
99	0.6050612261
100	0.6022288338
101	0.5983703269
102	0.5963312839
103	0.594071118
104	0.5932362964
105	0.590312826
106	0.58826712
107	0.5868977148
108	0.5843116823
109	0.5829523287
110	0.5823274641
111	0.5801269023
112	0.5775771995
113	0.5769630263
114	0.5762544065
