iter	Passed	Remaining
0	142	142530
1	144	72129
2	146	48682
3	148	36938
4	150	29896
5	151	25179
6	153	21826
7	155	19307
8	157	17334
9	159	15758
10	160	14411
11	161	13273
12	162	12367
13	164	11590
14	166	10924
15	168	10347
16	169	9828
17	171	9369
18	173	8962
19	175	8587
20	177	8251
21	178	7943
22	180	7660
23	181	7400
24	183	7163
25	185	6949
26	187	6746
27	188	6553
28	190	6377
29	192	6212
30	193	6063
31	195	5906
32	197	5776
33	198	5651
34	200	5535
35	202	5420
36	204	5317
37	205	5214
38	207	5112
39	209	5022
40	211	4935
41	212	4853
42	214	4771
43	216	4699
44	218	4627
45	219	4556
46	221	4490
47	222	4416
48	224	4353
49	226	4297
50	227	4241
51	229	4185
52	231	4136
53	233	4083
54	234	4034
55	236	3985
56	238	3939
57	239	3895
58	241	3856
59	243	3814
60	245	3773
61	246	3735
62	248	3696
63	250	3657
64	251	3620
65	253	3584
66	254	3548
67	256	3515
68	257	3480
69	259	3449
70	261	3419
71	262	3389
72	264	3359
73	266	3332
74	268	3306
75	269	3279
76	271	3252
77	272	3226
78	274	3202
79	276	3176
80	277	3152
81	279	3127
82	281	3104
83	282	3080
84	284	3058
85	285	3031
86	286	3009
87	288	2988
88	290	2971
89	292	2952
90	293	2933
91	295	2913
92	296	2894
93	298	2874
94	299	2857
95	301	2841
96	303	2823
97	305	2807
98	307	2794
99	308	2779
100	310	2766
101	312	2751
102	314	2736
103	316	2722
104	317	2707
105	319	2692
106	321	2679
107	322	2666
108	324	2652
109	326	2639
110	327	2625
111	329	2612
112	331	2601
113	332	2587
114	334	2574
115	336	2562
116	338	2551
117	339	2539
118	341	2527
119	342	2514
120	344	2501
121	346	2490
122	347	2478
123	349	2467
124	350	2455
125	352	2445
126	354	2435
127	356	2425
128	357	2415
129	359	2406
130	361	2395
131	362	2385
132	364	2375
133	365	2365
134	367	2354
135	369	2346
136	370	2335
137	372	2326
138	374	2316
139	375	2307
140	377	2297
141	378	2288
142	380	2279
143	381	2270
144	383	2262
145	385	2253
146	386	2245
147	388	2235
148	389	2227
149	391	2218
150	393	2210
151	394	2201
152	396	2193
153	397	2184
154	399	2176
155	401	2169
156	402	2161
157	404	2153
158	405	2146
159	407	2138
160	409	2131
161	410	2123
162	412	2116
163	413	2108
164	415	2101
165	416	2094
166	418	2087
167	420	2080
168	421	2072
169	423	2066
170	424	2059
171	426	2052
172	427	2045
173	429	2038
174	430	2031
175	432	2024
176	434	2018
177	435	2011
178	437	2004
179	438	1998
180	440	1992
181	441	1986
182	443	1979
183	444	1973
184	446	1967
185	447	1960
186	449	1953
187	451	1948
188	452	1941
189	454	1936
190	455	1930
191	457	1924
192	458	1919
193	460	1913
194	461	1907
195	463	1900
196	464	1895
197	466	1889
